[1] Train loss: 1.484, Train acc: 0.358
[1] Validation loss: 1.264, Validation acc: 0.478
[2] Train loss: 0.732, Train acc: 0.735
[2] Validation loss: 0.892, Validation acc: 0.652
[3] Train loss: 0.323, Train acc: 0.885
[3] Validation loss: 0.687, Validation acc: 0.746
[4] Train loss: 0.181, Train acc: 0.940
[4] Validation loss: 0.542, Validation acc: 0.805
[5] Train loss: 0.109, Train acc: 0.964
[5] Validation loss: 0.472, Validation acc: 0.832
[6] Train loss: 0.070, Train acc: 0.978
[6] Validation loss: 0.409, Validation acc: 0.853
[7] Train loss: 0.046, Train acc: 0.989
[7] Validation loss: 0.376, Validation acc: 0.866
[8] Train loss: 0.022, Train acc: 0.995
[8] Validation loss: 0.335, Validation acc: 0.881
[9] Train loss: 0.013, Train acc: 0.999
[9] Validation loss: 0.319, Validation acc: 0.887
[10] Train loss: 0.008, Train acc: 0.999
[10] Validation loss: 0.290, Validation acc: 0.901
[11] Train loss: 0.005, Train acc: 1.000
[11] Validation loss: 0.269, Validation acc: 0.906
[12] Train loss: 0.004, Train acc: 1.000
[12] Validation loss: 0.263, Validation acc: 0.908
[13] Train loss: 0.003, Train acc: 1.000
[13] Validation loss: 0.249, Validation acc: 0.913
[14] Train loss: 0.002, Train acc: 1.000
[14] Validation loss: 0.248, Validation acc: 0.913
[15] Train loss: 0.002, Train acc: 1.000
[15] Validation loss: 0.236, Validation acc: 0.920
[16] Train loss: 0.002, Train acc: 1.000
[16] Validation loss: 0.235, Validation acc: 0.919
[17] Train loss: 0.002, Train acc: 1.000
[17] Validation loss: 0.227, Validation acc: 0.922
[18] Train loss: 0.002, Train acc: 1.000
[18] Validation loss: 0.229, Validation acc: 0.921
[19] Train loss: 0.001, Train acc: 1.000
[19] Validation loss: 0.233, Validation acc: 0.922
[20] Train loss: 0.002, Train acc: 1.000
[20] Validation loss: 0.218, Validation acc: 0.928
[21] Train loss: 0.001, Train acc: 1.000
[21] Validation loss: 0.220, Validation acc: 0.926
[22] Train loss: 0.001, Train acc: 1.000
[22] Validation loss: 0.217, Validation acc: 0.927
[23] Train loss: 0.001, Train acc: 1.000
[23] Validation loss: 0.212, Validation acc: 0.929
[24] Train loss: 0.001, Train acc: 1.000
[24] Validation loss: 0.210, Validation acc: 0.928
[25] Train loss: 0.001, Train acc: 1.000
[25] Validation loss: 0.206, Validation acc: 0.929
[26] Train loss: 0.001, Train acc: 1.000
[26] Validation loss: 0.204, Validation acc: 0.929
[27] Train loss: 0.001, Train acc: 1.000
[27] Validation loss: 0.199, Validation acc: 0.929
[28] Train loss: 0.001, Train acc: 1.000
[28] Validation loss: 0.200, Validation acc: 0.929
[29] Train loss: 0.001, Train acc: 1.000
[29] Validation loss: 0.201, Validation acc: 0.930
[30] Train loss: 0.001, Train acc: 1.000
[30] Validation loss: 0.205, Validation acc: 0.931
[31] Train loss: 0.001, Train acc: 1.000
[31] Validation loss: 0.197, Validation acc: 0.932
[32] Train loss: 0.001, Train acc: 1.000
[32] Validation loss: 0.194, Validation acc: 0.933
[33] Train loss: 0.001, Train acc: 1.000
[33] Validation loss: 0.190, Validation acc: 0.933
[34] Train loss: 0.001, Train acc: 1.000
[34] Validation loss: 0.190, Validation acc: 0.933
[35] Train loss: 0.001, Train acc: 1.000
[35] Validation loss: 0.189, Validation acc: 0.934
[36] Train loss: 0.001, Train acc: 1.000
[36] Validation loss: 0.185, Validation acc: 0.935
[37] Train loss: 0.001, Train acc: 1.000
[37] Validation loss: 0.185, Validation acc: 0.935
[38] Train loss: 0.001, Train acc: 1.000
[38] Validation loss: 0.181, Validation acc: 0.936
[39] Train loss: 0.000, Train acc: 1.000
[39] Validation loss: 0.180, Validation acc: 0.937
[40] Train loss: 0.000, Train acc: 1.000
[40] Validation loss: 0.185, Validation acc: 0.934
[41] Train loss: 0.000, Train acc: 1.000
[41] Validation loss: 0.181, Validation acc: 0.936
[42] Train loss: 0.000, Train acc: 1.000
[42] Validation loss: 0.179, Validation acc: 0.938
[43] Train loss: 0.001, Train acc: 1.000
[43] Validation loss: 0.177, Validation acc: 0.936
[44] Train loss: 0.000, Train acc: 1.000
[44] Validation loss: 0.173, Validation acc: 0.938
[45] Train loss: 0.000, Train acc: 1.000
[45] Validation loss: 0.171, Validation acc: 0.938
[46] Train loss: 0.001, Train acc: 1.000
[46] Validation loss: 0.175, Validation acc: 0.939
[47] Train loss: 0.000, Train acc: 1.000
[47] Validation loss: 0.171, Validation acc: 0.939
[48] Train loss: 0.000, Train acc: 1.000
[48] Validation loss: 0.173, Validation acc: 0.940
[49] Train loss: 0.000, Train acc: 1.000
[49] Validation loss: 0.174, Validation acc: 0.939
[50] Train loss: 0.000, Train acc: 1.000
[50] Validation loss: 0.171, Validation acc: 0.940
[51] Train loss: 0.000, Train acc: 1.000
[51] Validation loss: 0.168, Validation acc: 0.940
[52] Train loss: 0.000, Train acc: 1.000
[52] Validation loss: 0.170, Validation acc: 0.939
[53] Train loss: 0.000, Train acc: 1.000
[53] Validation loss: 0.167, Validation acc: 0.941
[54] Train loss: 0.000, Train acc: 1.000
[54] Validation loss: 0.173, Validation acc: 0.941
[55] Train loss: 0.000, Train acc: 1.000
[55] Validation loss: 0.169, Validation acc: 0.940
[56] Train loss: 0.000, Train acc: 1.000
[56] Validation loss: 0.167, Validation acc: 0.943
[57] Train loss: 0.000, Train acc: 1.000
[57] Validation loss: 0.162, Validation acc: 0.942
[58] Train loss: 0.000, Train acc: 1.000
[58] Validation loss: 0.167, Validation acc: 0.942
[59] Train loss: 0.000, Train acc: 1.000
[59] Validation loss: 0.170, Validation acc: 0.942
[60] Train loss: 0.000, Train acc: 1.000
[60] Validation loss: 0.166, Validation acc: 0.942
[61] Train loss: 0.000, Train acc: 1.000
[61] Validation loss: 0.162, Validation acc: 0.940
[62] Train loss: 0.000, Train acc: 1.000
[62] Validation loss: 0.161, Validation acc: 0.941
[63] Train loss: 0.000, Train acc: 1.000
[63] Validation loss: 0.162, Validation acc: 0.941
[64] Train loss: 0.000, Train acc: 1.000
[64] Validation loss: 0.158, Validation acc: 0.942
[65] Train loss: 0.000, Train acc: 1.000
[65] Validation loss: 0.160, Validation acc: 0.944
[66] Train loss: 0.000, Train acc: 1.000
[66] Validation loss: 0.159, Validation acc: 0.943
[67] Train loss: 0.000, Train acc: 1.000
[67] Validation loss: 0.160, Validation acc: 0.943
[68] Train loss: 0.000, Train acc: 1.000
[68] Validation loss: 0.158, Validation acc: 0.943
[69] Train loss: 0.000, Train acc: 1.000
[69] Validation loss: 0.159, Validation acc: 0.943
[70] Train loss: 0.000, Train acc: 1.000
[70] Validation loss: 0.158, Validation acc: 0.943
[71] Train loss: 0.000, Train acc: 1.000
[71] Validation loss: 0.156, Validation acc: 0.945
[72] Train loss: 0.000, Train acc: 1.000
[72] Validation loss: 0.158, Validation acc: 0.943
[73] Train loss: 0.000, Train acc: 1.000
[73] Validation loss: 0.159, Validation acc: 0.943
[74] Train loss: 0.000, Train acc: 1.000
[74] Validation loss: 0.156, Validation acc: 0.944
[75] Train loss: 0.000, Train acc: 1.000
[75] Validation loss: 0.156, Validation acc: 0.945
[76] Train loss: 0.000, Train acc: 1.000
[76] Validation loss: 0.157, Validation acc: 0.945
[77] Train loss: 0.001, Train acc: 1.000
[77] Validation loss: 0.159, Validation acc: 0.944
[78] Train loss: 0.000, Train acc: 1.000
[78] Validation loss: 0.158, Validation acc: 0.945
[79] Train loss: 0.000, Train acc: 1.000
[79] Validation loss: 0.157, Validation acc: 0.945
[80] Train loss: 0.000, Train acc: 1.000
[80] Validation loss: 0.154, Validation acc: 0.946
[81] Train loss: 0.000, Train acc: 1.000
[81] Validation loss: 0.155, Validation acc: 0.945
[82] Train loss: 0.000, Train acc: 1.000
[82] Validation loss: 0.153, Validation acc: 0.946
[83] Train loss: 0.000, Train acc: 1.000
[83] Validation loss: 0.153, Validation acc: 0.946
[84] Train loss: 0.000, Train acc: 1.000
[84] Validation loss: 0.154, Validation acc: 0.945
[85] Train loss: 0.000, Train acc: 1.000
[85] Validation loss: 0.152, Validation acc: 0.946
[86] Train loss: 0.000, Train acc: 1.000
[86] Validation loss: 0.154, Validation acc: 0.946
[87] Train loss: 0.000, Train acc: 1.000
[87] Validation loss: 0.154, Validation acc: 0.947
[88] Train loss: 0.000, Train acc: 1.000
[88] Validation loss: 0.151, Validation acc: 0.947
[89] Train loss: 0.000, Train acc: 1.000
[89] Validation loss: 0.150, Validation acc: 0.947
[90] Train loss: 0.000, Train acc: 1.000
[90] Validation loss: 0.147, Validation acc: 0.948
[91] Train loss: 0.000, Train acc: 1.000
[91] Validation loss: 0.150, Validation acc: 0.947
[92] Train loss: 0.000, Train acc: 1.000
[92] Validation loss: 0.150, Validation acc: 0.946
[93] Train loss: 0.000, Train acc: 1.000
[93] Validation loss: 0.151, Validation acc: 0.947
[94] Train loss: 0.000, Train acc: 1.000
[94] Validation loss: 0.147, Validation acc: 0.948
[95] Train loss: 0.000, Train acc: 1.000
[95] Validation loss: 0.145, Validation acc: 0.949
[96] Train loss: 0.000, Train acc: 1.000
[96] Validation loss: 0.147, Validation acc: 0.946
[97] Train loss: 0.000, Train acc: 1.000
[97] Validation loss: 0.145, Validation acc: 0.948
[98] Train loss: 0.000, Train acc: 1.000
[98] Validation loss: 0.145, Validation acc: 0.947
[99] Train loss: 0.000, Train acc: 1.000
[99] Validation loss: 0.146, Validation acc: 0.948
[100] Train loss: 0.000, Train acc: 1.000
[100] Validation loss: 0.145, Validation acc: 0.949
[101] Train loss: 0.000, Train acc: 1.000
[101] Validation loss: 0.144, Validation acc: 0.950
[102] Train loss: 0.000, Train acc: 1.000
[102] Validation loss: 0.148, Validation acc: 0.947
[103] Train loss: 0.000, Train acc: 1.000
[103] Validation loss: 0.144, Validation acc: 0.950
[104] Train loss: 0.000, Train acc: 1.000
[104] Validation loss: 0.142, Validation acc: 0.948
[105] Train loss: 0.000, Train acc: 1.000
[105] Validation loss: 0.142, Validation acc: 0.949
[106] Train loss: 0.000, Train acc: 1.000
[106] Validation loss: 0.142, Validation acc: 0.949
[107] Train loss: 0.000, Train acc: 1.000
[107] Validation loss: 0.142, Validation acc: 0.952
[108] Train loss: 0.000, Train acc: 1.000
[108] Validation loss: 0.144, Validation acc: 0.949
[109] Train loss: 0.000, Train acc: 1.000
[109] Validation loss: 0.146, Validation acc: 0.949
[110] Train loss: 0.000, Train acc: 1.000
[110] Validation loss: 0.145, Validation acc: 0.949
[111] Train loss: 0.000, Train acc: 1.000
[111] Validation loss: 0.145, Validation acc: 0.949
[112] Train loss: 0.000, Train acc: 1.000
[112] Validation loss: 0.143, Validation acc: 0.948
[113] Train loss: 0.000, Train acc: 1.000
[113] Validation loss: 0.143, Validation acc: 0.948
[114] Train loss: 0.000, Train acc: 1.000
[114] Validation loss: 0.141, Validation acc: 0.950
[115] Train loss: 0.000, Train acc: 1.000
[115] Validation loss: 0.139, Validation acc: 0.950
[116] Train loss: 0.000, Train acc: 1.000
[116] Validation loss: 0.143, Validation acc: 0.950
[117] Train loss: 0.000, Train acc: 1.000
[117] Validation loss: 0.141, Validation acc: 0.949
[118] Train loss: 0.000, Train acc: 1.000
[118] Validation loss: 0.142, Validation acc: 0.949
[119] Train loss: 0.000, Train acc: 1.000
[119] Validation loss: 0.141, Validation acc: 0.951
[120] Train loss: 0.000, Train acc: 1.000
[120] Validation loss: 0.142, Validation acc: 0.950
[121] Train loss: 0.000, Train acc: 1.000
[121] Validation loss: 0.142, Validation acc: 0.949
[122] Train loss: 0.000, Train acc: 1.000
[122] Validation loss: 0.140, Validation acc: 0.950
[123] Train loss: 0.000, Train acc: 1.000
[123] Validation loss: 0.140, Validation acc: 0.951
[124] Train loss: 0.000, Train acc: 1.000
[124] Validation loss: 0.141, Validation acc: 0.950
[125] Train loss: 0.000, Train acc: 1.000
[125] Validation loss: 0.138, Validation acc: 0.950
[126] Train loss: 0.000, Train acc: 1.000
[126] Validation loss: 0.139, Validation acc: 0.951
[127] Train loss: 0.000, Train acc: 1.000
[127] Validation loss: 0.138, Validation acc: 0.950
At epoch 126, lr changed to 0.010000000000000002
[128] Train loss: 0.000, Train acc: 1.000
[128] Validation loss: 0.137, Validation acc: 0.949
[129] Train loss: 0.000, Train acc: 1.000
[129] Validation loss: 0.138, Validation acc: 0.951
[130] Train loss: 0.000, Train acc: 1.000
[130] Validation loss: 0.142, Validation acc: 0.952
[131] Train loss: 0.000, Train acc: 1.000
[131] Validation loss: 0.136, Validation acc: 0.950
[132] Train loss: 0.000, Train acc: 1.000
[132] Validation loss: 0.135, Validation acc: 0.951
[133] Train loss: 0.000, Train acc: 1.000
[133] Validation loss: 0.138, Validation acc: 0.950
[134] Train loss: 0.000, Train acc: 1.000
[134] Validation loss: 0.135, Validation acc: 0.950
[135] Train loss: 0.000, Train acc: 1.000
[135] Validation loss: 0.139, Validation acc: 0.950
[136] Train loss: 0.000, Train acc: 1.000
[136] Validation loss: 0.142, Validation acc: 0.950
[137] Train loss: 0.000, Train acc: 1.000
[137] Validation loss: 0.148, Validation acc: 0.949
[138] Train loss: 0.000, Train acc: 1.000
[138] Validation loss: 0.144, Validation acc: 0.950
[139] Train loss: 0.000, Train acc: 1.000
[139] Validation loss: 0.139, Validation acc: 0.949
[140] Train loss: 0.000, Train acc: 1.000
[140] Validation loss: 0.141, Validation acc: 0.949
[141] Train loss: 0.000, Train acc: 1.000
[141] Validation loss: 0.134, Validation acc: 0.951
[142] Train loss: 0.000, Train acc: 1.000
[142] Validation loss: 0.136, Validation acc: 0.951
[143] Train loss: 0.000, Train acc: 1.000
[143] Validation loss: 0.138, Validation acc: 0.949
[144] Train loss: 0.000, Train acc: 1.000
[144] Validation loss: 0.136, Validation acc: 0.952
[145] Train loss: 0.000, Train acc: 1.000
[145] Validation loss: 0.135, Validation acc: 0.952
[146] Train loss: 0.000, Train acc: 1.000
[146] Validation loss: 0.137, Validation acc: 0.949
[147] Train loss: 0.000, Train acc: 1.000
[147] Validation loss: 0.138, Validation acc: 0.950
[148] Train loss: 0.000, Train acc: 1.000
[148] Validation loss: 0.136, Validation acc: 0.951
[149] Train loss: 0.000, Train acc: 1.000
[149] Validation loss: 0.135, Validation acc: 0.951
[150] Train loss: 0.000, Train acc: 1.000
[150] Validation loss: 0.137, Validation acc: 0.952
[151] Train loss: 0.000, Train acc: 1.000
[151] Validation loss: 0.136, Validation acc: 0.950
[152] Train loss: 0.000, Train acc: 1.000
[152] Validation loss: 0.139, Validation acc: 0.949
[153] Train loss: 0.000, Train acc: 1.000
[153] Validation loss: 0.138, Validation acc: 0.950
[154] Train loss: 0.000, Train acc: 1.000
[154] Validation loss: 0.138, Validation acc: 0.949
[155] Train loss: 0.000, Train acc: 1.000
[155] Validation loss: 0.140, Validation acc: 0.949
[156] Train loss: 0.000, Train acc: 1.000
[156] Validation loss: 0.137, Validation acc: 0.952
[157] Train loss: 0.000, Train acc: 1.000
[157] Validation loss: 0.136, Validation acc: 0.950
[158] Train loss: 0.000, Train acc: 1.000
[158] Validation loss: 0.136, Validation acc: 0.953
[159] Train loss: 0.000, Train acc: 1.000
[159] Validation loss: 0.142, Validation acc: 0.951
[160] Train loss: 0.000, Train acc: 1.000
