[1] Train loss: 1.509, Train acc: 0.360
[1] Validation loss: 1.385, Validation acc: 0.430
[2] Train loss: 0.720, Train acc: 0.725
[2] Validation loss: 1.174, Validation acc: 0.558
[3] Train loss: 0.337, Train acc: 0.888
[3] Validation loss: 0.980, Validation acc: 0.661
[4] Train loss: 0.093, Train acc: 0.983
[4] Validation loss: 0.893, Validation acc: 0.706
[5] Train loss: 0.019, Train acc: 1.000
[5] Validation loss: 0.862, Validation acc: 0.718
[6] Train loss: 0.011, Train acc: 1.000
[6] Validation loss: 0.842, Validation acc: 0.719
[7] Train loss: 0.006, Train acc: 1.000
[7] Validation loss: 0.820, Validation acc: 0.725
[8] Train loss: 0.004, Train acc: 1.000
[8] Validation loss: 0.825, Validation acc: 0.727
[9] Train loss: 0.003, Train acc: 1.000
[9] Validation loss: 0.825, Validation acc: 0.729
[10] Train loss: 0.003, Train acc: 1.000
[10] Validation loss: 0.823, Validation acc: 0.731
[11] Train loss: 0.002, Train acc: 1.000
[11] Validation loss: 0.824, Validation acc: 0.733
[12] Train loss: 0.002, Train acc: 1.000
[12] Validation loss: 0.820, Validation acc: 0.735
[13] Train loss: 0.002, Train acc: 1.000
[13] Validation loss: 0.818, Validation acc: 0.735
[14] Train loss: 0.002, Train acc: 1.000
[14] Validation loss: 0.825, Validation acc: 0.737
[15] Train loss: 0.002, Train acc: 1.000
[15] Validation loss: 0.818, Validation acc: 0.738
[16] Train loss: 0.001, Train acc: 1.000
[16] Validation loss: 0.816, Validation acc: 0.739
[17] Train loss: 0.001, Train acc: 1.000
[17] Validation loss: 0.821, Validation acc: 0.740
[18] Train loss: 0.001, Train acc: 1.000
[18] Validation loss: 0.822, Validation acc: 0.742
[19] Train loss: 0.001, Train acc: 1.000
[19] Validation loss: 0.819, Validation acc: 0.743
[20] Train loss: 0.001, Train acc: 1.000
[20] Validation loss: 0.821, Validation acc: 0.744
[21] Train loss: 0.001, Train acc: 1.000
[21] Validation loss: 0.822, Validation acc: 0.744
[22] Train loss: 0.001, Train acc: 1.000
[22] Validation loss: 0.820, Validation acc: 0.744
[23] Train loss: 0.001, Train acc: 1.000
[23] Validation loss: 0.819, Validation acc: 0.745
[24] Train loss: 0.001, Train acc: 1.000
[24] Validation loss: 0.818, Validation acc: 0.745
[25] Train loss: 0.001, Train acc: 1.000
[25] Validation loss: 0.818, Validation acc: 0.745
[26] Train loss: 0.001, Train acc: 1.000
[26] Validation loss: 0.821, Validation acc: 0.745
[27] Train loss: 0.001, Train acc: 1.000
[27] Validation loss: 0.820, Validation acc: 0.746
[28] Train loss: 0.001, Train acc: 1.000
[28] Validation loss: 0.817, Validation acc: 0.746
[29] Train loss: 0.001, Train acc: 1.000
[29] Validation loss: 0.815, Validation acc: 0.746
[30] Train loss: 0.001, Train acc: 1.000
[30] Validation loss: 0.817, Validation acc: 0.747
[31] Train loss: 0.001, Train acc: 1.000
[31] Validation loss: 0.817, Validation acc: 0.747
[32] Train loss: 0.001, Train acc: 1.000
[32] Validation loss: 0.814, Validation acc: 0.748
[33] Train loss: 0.001, Train acc: 1.000
[33] Validation loss: 0.816, Validation acc: 0.749
[34] Train loss: 0.001, Train acc: 1.000
[34] Validation loss: 0.814, Validation acc: 0.749
[35] Train loss: 0.001, Train acc: 1.000
[35] Validation loss: 0.814, Validation acc: 0.750
[36] Train loss: 0.001, Train acc: 1.000
[36] Validation loss: 0.815, Validation acc: 0.749
[37] Train loss: 0.001, Train acc: 1.000
[37] Validation loss: 0.815, Validation acc: 0.750
[38] Train loss: 0.000, Train acc: 1.000
[38] Validation loss: 0.815, Validation acc: 0.750
[39] Train loss: 0.000, Train acc: 1.000
[39] Validation loss: 0.822, Validation acc: 0.750
[40] Train loss: 0.000, Train acc: 1.000
