[1] Train loss: 1.468, Train acc: 0.355
[1] Validation loss: 1.295, Validation acc: 0.462
[2] Train loss: 0.747, Train acc: 0.732
[2] Validation loss: 0.923, Validation acc: 0.635
[3] Train loss: 0.296, Train acc: 0.910
[3] Validation loss: 0.692, Validation acc: 0.736
[4] Train loss: 0.107, Train acc: 0.979
[4] Validation loss: 0.544, Validation acc: 0.792
[5] Train loss: 0.030, Train acc: 0.999
[5] Validation loss: 0.506, Validation acc: 0.809
[6] Train loss: 0.012, Train acc: 1.000
[6] Validation loss: 0.489, Validation acc: 0.815
[7] Train loss: 0.008, Train acc: 1.000
[7] Validation loss: 0.481, Validation acc: 0.818
[8] Train loss: 0.007, Train acc: 1.000
[8] Validation loss: 0.477, Validation acc: 0.821
[9] Train loss: 0.005, Train acc: 1.000
[9] Validation loss: 0.472, Validation acc: 0.824
[10] Train loss: 0.005, Train acc: 1.000
[10] Validation loss: 0.470, Validation acc: 0.826
[11] Train loss: 0.004, Train acc: 1.000
[11] Validation loss: 0.465, Validation acc: 0.828
[12] Train loss: 0.004, Train acc: 1.000
[12] Validation loss: 0.468, Validation acc: 0.831
[13] Train loss: 0.003, Train acc: 1.000
[13] Validation loss: 0.460, Validation acc: 0.834
[14] Train loss: 0.003, Train acc: 1.000
[14] Validation loss: 0.460, Validation acc: 0.835
[15] Train loss: 0.003, Train acc: 1.000
[15] Validation loss: 0.458, Validation acc: 0.835
[16] Train loss: 0.003, Train acc: 1.000
[16] Validation loss: 0.457, Validation acc: 0.836
[17] Train loss: 0.002, Train acc: 1.000
[17] Validation loss: 0.455, Validation acc: 0.837
[18] Train loss: 0.002, Train acc: 1.000
[18] Validation loss: 0.453, Validation acc: 0.838
[19] Train loss: 0.002, Train acc: 1.000
[19] Validation loss: 0.462, Validation acc: 0.839
[20] Train loss: 0.002, Train acc: 1.000
[20] Validation loss: 0.450, Validation acc: 0.840
[21] Train loss: 0.002, Train acc: 1.000
[21] Validation loss: 0.449, Validation acc: 0.841
[22] Train loss: 0.002, Train acc: 1.000
[22] Validation loss: 0.452, Validation acc: 0.842
[23] Train loss: 0.002, Train acc: 1.000
[23] Validation loss: 0.448, Validation acc: 0.843
[24] Train loss: 0.002, Train acc: 1.000
[24] Validation loss: 0.447, Validation acc: 0.843
[25] Train loss: 0.001, Train acc: 1.000
[25] Validation loss: 0.450, Validation acc: 0.844
[26] Train loss: 0.001, Train acc: 1.000
[26] Validation loss: 0.445, Validation acc: 0.844
[27] Train loss: 0.001, Train acc: 1.000
[27] Validation loss: 0.443, Validation acc: 0.844
[28] Train loss: 0.001, Train acc: 1.000
[28] Validation loss: 0.446, Validation acc: 0.845
[29] Train loss: 0.001, Train acc: 1.000
[29] Validation loss: 0.444, Validation acc: 0.845
[30] Train loss: 0.001, Train acc: 1.000
[30] Validation loss: 0.447, Validation acc: 0.846
[31] Train loss: 0.001, Train acc: 1.000
[31] Validation loss: 0.442, Validation acc: 0.847
[32] Train loss: 0.001, Train acc: 1.000
[32] Validation loss: 0.440, Validation acc: 0.847
[33] Train loss: 0.001, Train acc: 1.000
[33] Validation loss: 0.439, Validation acc: 0.848
[34] Train loss: 0.001, Train acc: 1.000
[34] Validation loss: 0.441, Validation acc: 0.848
[35] Train loss: 0.001, Train acc: 1.000
[35] Validation loss: 0.440, Validation acc: 0.848
[36] Train loss: 0.001, Train acc: 1.000
[36] Validation loss: 0.441, Validation acc: 0.848
[37] Train loss: 0.001, Train acc: 1.000
[37] Validation loss: 0.444, Validation acc: 0.849
[38] Train loss: 0.001, Train acc: 1.000
[38] Validation loss: 0.438, Validation acc: 0.849
[39] Train loss: 0.001, Train acc: 1.000
[39] Validation loss: 0.437, Validation acc: 0.850
[40] Train loss: 0.001, Train acc: 1.000
[40] Validation loss: 0.436, Validation acc: 0.851
[41] Train loss: 0.001, Train acc: 1.000
[41] Validation loss: 0.439, Validation acc: 0.851
